t,S_b0,S_b1,S_b2,S_b3,S_b4,S_b5,S_b6,S_b7,S_b8,S_b9,S_b10,S_b11,S_b12,S_b13,S_b14
0.550,4.805727e-01,4.927506e-01,4.927967e-01,4.927998e-01,4.927968e-01,4.927998e-01,4.927968e-01,4.927998e-01,4.927968e-01,4.927998e-01,4.927968e-01,4.927998e-01,4.927967e-01,4.927506e-01,4.805727e-01
0.600,5.045628e-01,5.227373e-01,5.228412e-01,5.228441e-01,5.228413e-01,5.228441e-01,5.228413e-01,5.228441e-01,5.228413e-01,5.228441e-01,5.228413e-01,5.228441e-01,5.228412e-01,5.227373e-01,5.045628e-01
0.650,5.233514e-01,5.496496e-01,5.498653e-01,5.498681e-01,5.498657e-01,5.498681e-01,5.498657e-01,5.498681e-01,5.498657e-01,5.498681e-01,5.498657e-01,5.498681e-01,5.498653e-01,5.496496e-01,5.233514e-01
0.700,5.375651e-01,5.746018e-01,5.750224e-01,5.750256e-01,5.750235e-01,5.750256e-01,5.750235e-01,5.750256e-01,5.750235e-01,5.750256e-01,5.750235e-01,5.750256e-01,5.750224e-01,5.746018e-01,5.375651e-01
0.750,5.478611e-01,5.987107e-01,5.994880e-01,5.994925e-01,5.994908e-01,5.994925e-01,5.994908e-01,5.994925e-01,5.994908e-01,5.994925e-01,5.994908e-01,5.994925e-01,5.994880e-01,5.987107e-01,5.478611e-01
0.800,5.548873e-01,6.229690e-01,6.243361e-01,6.243440e-01,6.243427e-01,6.243440e-01,6.243427e-01,6.243440e-01,6.243427e-01,6.243440e-01,6.243427e-01,6.243440e-01,6.243361e-01,6.229690e-01,5.548873e-01
0.850,5.592610e-01,6.481352e-01,6.504313e-01,6.504467e-01,6.504457e-01,6.504467e-01,6.504457e-01,6.504467e-01,6.504457e-01,6.504467e-01,6.504457e-01,6.504467e-01,6.504313e-01,6.481352e-01,5.592610e-01
0.900,5.615605e-01,6.746561e-01,6.783484e-01,6.783790e-01,6.783783e-01,6.783790e-01,6.783783e-01,6.783790e-01,6.783783e-01,6.783790e-01,6.783783e-01,6.783790e-01,6.783484e-01,6.746561e-01,5.615605e-01
0.950,5.623219e-01,7.026334e-01,7.083351e-01,7.083941e-01,7.083938e-01,7.083943e-01,7.083938e-01,7.083943e-01,7.083938e-01,7.083943e-01,7.083938e-01,7.083941e-01,7.083351e-01,7.026334e-01,5.623219e-01
1.000,5.620347e-01,7.318377e-01,7.403182e-01,7.404277e-01,7.404278e-01,7.404281e-01,7.404278e-01,7.404281e-01,7.404278e-01,7.404281e-01,7.404278e-01,7.404277e-01,7.403182e-01,7.318377e-01,5.620347e-01
1.050,5.611340e-01,7.617646e-01,7.739523e-01,7.741470e-01,7.741478e-01,7.741480e-01,7.741478e-01,7.741480e-01,7.741478e-01,7.741480e-01,7.741478e-01,7.741470e-01,7.739523e-01,7.617646e-01,5.611340e-01
1.100,5.599891e-01,7.917182e-01,8.086978e-01,8.090301e-01,8.090319e-01,8.090321e-01,8.090319e-01,8.090321e-01,8.090319e-01,8.090321e-01,8.090319e-01,8.090301e-01,8.086978e-01,7.917182e-01,5.599891e-01
1.150,5.588913e-01,8.209065e-01,8.439139e-01,8.444604e-01,8.444641e-01,8.444642e-01,8.444641e-01,8.444642e-01,8.444641e-01,8.444642e-01,8.444641e-01,8.444604e-01,8.439139e-01,8.209065e-01,5.588913e-01
1.200,5.580458e-01,8.485338e-01,8.789531e-01,8.798215e-01,8.798288e-01,8.798290e-01,8.798289e-01,8.798290e-01,8.798289e-01,8.798290e-01,8.798288e-01,8.798215e-01,8.789531e-01,8.485338e-01,5.580458e-01
1.250,5.575695e-01,8.738755e-01,9.132419e-01,9.145807e-01,9.145944e-01,9.145946e-01,9.145944e-01,9.145946e-01,9.145944e-01,9.145946e-01,9.145944e-01,9.145807e-01,9.132419e-01,8.738755e-01,5.575695e-01
1.300,5.574974e-01,8.963334e-01,9.463417e-01,9.483502e-01,9.483749e-01,9.483752e-01,9.483750e-01,9.483752e-01,9.483750e-01,9.483752e-01,9.483749e-01,9.483502e-01,9.463417e-01,8.963334e-01,5.574974e-01
1.350,5.577964e-01,9.154682e-01,9.779825e-01,9.809234e-01,9.809666e-01,9.809671e-01,9.809668e-01,9.809671e-01,9.809668e-01,9.809671e-01,9.809666e-01,9.809234e-01,9.779825e-01,9.154682e-01,5.577964e-01
1.400,5.583845e-01,9.310142e-01,1.008070e+00,1.012283e+00,1.012357e+00,1.012358e+00,1.012357e+00,1.012358e+00,1.012357e+00,1.012358e+00,1.012357e+00,1.012283e+00,1.008070e+00,9.310142e-01,5.583845e-01
1.450,5.591530e-01,9.428824e-01,1.036668e+00,1.042584e+00,1.042707e+00,1.042708e+00,1.042708e+00,1.042708e+00,1.042708e+00,1.042708e+00,1.042707e+00,1.042584e+00,1.036668e+00,9.428824e-01,5.591530e-01
1.500,5.599860e-01,9.511573e-01,1.063959e+00,1.072115e+00,1.072315e+00,1.072317e+00,1.072317e+00,1.072317e+00,1.072317e+00,1.072317e+00,1.072315e+00,1.072115e+00,1.063959e+00,9.511573e-01,5.599860e-01
